rank,movie_name,release_year,audience_rating,gross_earnings,director(s)
313,Terminator 3: Rise of the Machines,2003,R,433371112,Jonathan Mostow
314,Shang-Chi and the Legend of the Ten Rings,2021,PG-13,432243292,Destin Daniel Cretton
315,Die Another Day,2002,PG-13,431971781,Lee Tamahori
316,The Secret Life of Pets 2,2019,PG,431164459,"Chris Renaud, Jonathan del Val"
317,The Exorcist,1973,R,430872776,William Friedkin
318,Cast Away,2000,PG-13,429632142,Robert Zemeckis
319,Rampage,2018,PG-13,428128399,Brad Peyton
320,The Matrix Revolutions,2003,R,427344325,"Lana Wachowski, Lilly Wachowski"
321,The Intouchables,2011,R,426590315,"Olivier Nakache, Éric Toledano"
322,Bad Boys for Life,2020,R,426505244,"Adil El Arbi, Bilall Fallah"
323,Django Unchained,2012,R,426076293,Quentin Tarantino
324,Beauty and the Beast,1991,G,424967620,"Gary Trousdale, Kirk Wise"
325,Dances with Wolves,1990,PG-13,424208848,Kevin Costner
326,"My People, My Homeland",2020,Not Rated,422390820,"Hao Ning, Sicheng Chen, Chao Deng"
327,The Chronicles of Narnia: Prince Caspian,2008,PG,419665568,Andrew Adamson
328,Sex and the City,2008,R,418769972,Michael Patrick King
329,The Mummy,1999,PG-13,417643286,Stephen Sommers
330,The Captain,2019,Not Rated,417282021,Wai Keung Lau
331,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,PG,415686217,Michael Apted
332,Jason Bourne,2016,PG-13,415484914,Paul Greengrass
333,The Wolverine,2013,PG-13,414828246,James Mangold
334,Kingsman: The Secret Service,2014,R,414351546,Matthew Vaughn
335,Night at the Museum: Battle of the Smithsonian,2009,PG,413106170,Shawn Levy
336,Batman,1989,PG-13,411569241,Tim Burton
337,The Bodyguard,1992,R,411046449,Mick Jackson
338,Pacific Rim,2013,PG-13,411002906,Guillermo del Toro
339,Kingsman: The Golden Circle,2017,R,410902662,Matthew Vaughn
340,Tron: Legacy,2010,PG,409912892,Joseph Kosinski
341,The Mummy,2017,PG-13,409231607,Alex Kurtzman
342,Ice Age: Collision Course,2016,PG,408754975,"Michael Thurmeier, Galen T. Chu"
343,Twilight,2008,PG-13,408496327,Catherine Hardwicke
344,Sing 2,2021,PG,408402685,"Garth Jennings, Christophe Lourdelet"
345,Signs,2002,PG-13,408247917,M. Night Shyamalan
346,Beetlejuice Beetlejuice,2024,PG-13,408017135,Tim Burton
347,X2: X-Men United,2003,PG-13,407711549,Bryan Singer
348,Dune: Part One,2021,PG-13,407673628,Denis Villeneuve
349,Fantastic Beasts: The Secrets of Dumbledore,2022,PG-13,407150844,David Yates
350,Uncharted,2022,PG-13,407141258,Ruben Fleischer
351,The Wolf of Wall Street,2013,R,407039432,Martin Scorsese
352,Sonic the Hedgehog 2,2022,PG,405421518,Jeff Fowler
353,Alita: Battle Angel,2019,PG-13,404980543,Robert Rodriguez
354,Bad Boys: Ride or Die,2024,R,404290821,"Adil El Arbi, Bilall Fallah"
355,The Mummy: Tomb of the Dragon Emperor,2008,PG-13,403449830,Rob Cohen
356,Prometheus,2012,R,403354469,Ridley Scott
357,Gone with the Wind,1939,G,402382193,"Victor Fleming, George Cukor, Sam Wood"
358,Eternals,2021,PG-13,402064899,Chloé Zhao
359,Mission: Impossible III,2006,PG-13,398479497,J.J. Abrams
360,Meg 2: The Trench,2023,PG-13,397800317,Ben Wheatley
361,Kingdom of the Planet of the Apes,2024,PG-13,397378150,Wes Ball
362,Snow White and the Huntsman,2012,PG-13,396592829,Rupert Sanders
363,Grease,1978,PG,396271103,Randal Kleiser
364,Mamma Mia! Here We Go Again,2018,PG-13,395607854,Ol Parker
365,Toy Story,1995,G,394436586,John Lasseter
366,Spider-Man: Into the Spider-Verse,2018,PG,393602435,"Bob Persichetti, Peter Ramsey, Rodney Rothman"
367,Black Adam,2022,PG-13,393452111,Jaume Collet-Serra
368,Solo: A Star Wars Story,2018,PG-13,392924807,Ron Howard
369,Once Upon a Time... in Hollywood,2019,R,392105159,Quentin Tarantino
370,Superman Returns,2006,PG-13,391081192,Bryan Singer
371,Robin Hood: Prince of Thieves,1991,PG-13,390493908,Kevin Reynolds
372,1917,2019,R,390411425,Sam Mendes
373,Raiders of the Lost Ark,1981,PG,389925971,Steven Spielberg
374,Independence Day: Resurgence,2016,PG-13,389681935,Roland Emmerich
375,Live Free or Die Hard,2007,PG-13,388156011,Len Wiseman
376,Godzilla: King of the Monsters,2019,PG-13,387300138,Michael Dougherty
377,Monster Hunt,2015,TV-Y7,387053506,Raman Hui
378,Home,2015,PG,386041607,Tim Johnson
379,Star Trek,2009,PG-13,385681768,J.J. Abrams
380,Back to the Future,1985,PG,384577472,Robert Zemeckis
381,Happy Feet,2006,PG,384336108,"George Miller, Warren Coleman, Judy Morris"
382,Indiana Jones and the Dial of Destiny,2023,PG-13,383963057,James Mangold
383,Cars 3,2017,G,383930656,Brian Fee
384,Ice Age,2002,PG,383257136,"Chris Wedge, Carlos Saldanha"
385,Your Name.,2016,Not Rated,382241103,Makoto Shinkai
386,Fifty Shades Darker,2017,R,381545846,James Foley
387,Monsters vs. Aliens,2009,PG,381509870,"Rob Letterman, Conrad Vernon"
388,Mad Max: Fury Road,2015,R,380437267,George Miller
389,Black Widow,2021,PG-13,379751655,Cate Shortland
390,Godzilla,1998,PG-13,379014294,Roland Emmerich
391,True Lies,1994,R,378882411,James Cameron
392,Slumdog Millionaire,2008,R,378411362,"Danny Boyle, Loveleen Tandan"
393,Edge of Tomorrow,2014,PG-13,377044245,Doug Liman
394,Taken 2,2012,PG-13,376152455,Olivier Megaton
395,G.I. Joe: Retaliation,2013,PG-13,375740705,Jon M. Chu
396,Batman Begins,2005,PG-13,375398269,Christopher Nolan
397,Shark Tale,2004,PG,374583879,"Bibo Bergeron, Vicky Jenson, Rob Letterman"
398,What Women Want,2000,PG-13,374111707,Nancy Meyers
399,The Adventures of Tintin,2011,PG,373994233,Steven Spielberg
400,Penguins of Madagascar,2014,PG,373515621,"Eric Darnell, Simon J. Smith"
401,X-Men Origins: Wolverine,2009,PG-13,373062864,Gavin Hood
402,The Golden Compass,2007,PG-13,372234864,Chris Weitz
403,Fifty Shades Freed,2018,R,371985018,James Foley
404,Hitch,2005,PG-13,371594210,Andy Tennant
405,Terminator Salvation,2009,PG-13,371353001,McG
406,Twisters,2024,PG-13,370962265,Lee Isaac Chung
407,Gone Girl,2014,R,370890259,David Fincher
408,Captain America: The First Avenger,2011,PG-13,370569774,Joe Johnston
409,There's Something About Mary,1998,R,369884651,"Bobby Farrelly, Peter Farrelly"
410,The Fugitive,1993,PG-13,368875760,Andrew Davis
411,Jurassic Park III,2001,PG-13,368780809,Joe Johnston
412,My Big Fat Greek Wedding,2002,PG,368744044,Joel Zwick
413,Shazam!,2019,PG-13,367799011,David F. Sandberg
414,Hello Mr. Billionaire,2018,Not Rated,366961907,"Da-Mo Peng, Fei Yan"
415,Die Hard with a Vengeance,1995,R,366101666,John McTiernan
416,The Nun,2018,R,366082797,Corin Hardy
417,Alvin and the Chipmunks,2007,PG,365352546,Tim Hill
418,Tenet,2020,PG-13,365304105,Christopher Nolan
419,Notting Hill,1999,PG-13,363992308,Roger Michell
420,A Bug's Life,1998,G,363258859,"John Lasseter, Andrew Stanton"
421,Night at the Museum: Secret of the Tomb,2014,PG,363204635,Shawn Levy
422,Ocean's Twelve,2004,PG-13,362744280,Steven Soderbergh
423,Mary Poppins Returns,2018,PG,362529106,Rob Marshall
424,Planet of the Apes,2001,PG-13,362211740,Tim Burton
425,The Hangover Part III,2013,R,362000072,Todd Phillips
426,The World Is Not Enough,1999,PG-13,361832400,Michael Apted
427,Monster Hunt 2,2018,Not Rated,361682618,Raman Hui
428,Fast & Furious,2009,PG-13,360405638,Justin Lin
429,Noah,2014,PG-13,359200044,Darren Aronofsky
430,The Karate Kid,2010,PG,359126022,Harald Zwart
431,Home Alone 2: Lost in New York,1992,PG,358994850,Chris Columbus
432,Hotel Transylvania,2012,PG,358375603,Genndy Tartakovsky
433,Minority Report,2002,PG-13,358372926,Steven Spielberg
434,Spirited Away,2001,PG,358129968,Hayao Miyazaki
435,Top Gun,1986,PG,357288178,Tony Scott
436,The Legend of Tarzan,2016,PG-13,357243061,David Yates
437,American Beauty,1999,R,356296601,Sam Mendes
438,Apollo 13,1995,PG,355237933,Ron Howard
439,Rain Man,1988,R,354825435,Barry Levinson
440,The Great Gatsby,2013,PG-13,353660028,Baz Luhrmann
441,Dumbo,2019,PG,353284621,Tim Burton
442,"I, Robot",2004,PG-13,353133898,Alex Proyas
443,Basic Instinct,1992,R,352927224,Paul Verhoeven
444,Murder on the Orient Express,2017,PG-13,352794081,Kenneth Branagh
445,X-Men: First Class,2011,PG-13,352616690,Matthew Vaughn
446,The Angry Birds Movie,2016,PG,352333929,"Clay Kaytis, Fergal Reilly"
447,GoldenEye,1995,PG-13,352194034,Martin Campbell
448,Catch Me If You Can,2002,PG-13,352114312,Steven Spielberg
449,Now You See Me,2013,PG-13,351723989,Louis Leterrier
450,Hannibal,2001,R,351692268,Ridley Scott
451,The Mask,1994,PG-13,351583407,Chuck Russell
452,Peter Rabbit,2018,PG,351516614,Will Gluck
453,Speed,1994,R,350448145,Jan de Bont
454,Dinosaur,2000,PG,349822765,"Eric Leighton, Ralph Zondag"
455,Alien: Romulus,2024,R,349725014,Fede Alvarez
456,Deep Impact,1998,PG-13,349464664,Mimi Leder
457,The Lorax,2012,PG,349305397,"Chris Renaud, Kyle Balda"
458,The Hunger Games: The Ballad of Songbirds & Snakes,2023,PG-13,348900019,Francis Lawrence
459,The Maze Runner,2014,PG-13,348319861,Wes Ball
460,The Smurfs 2,2013,PG,347545360,Raja Gosnell
461,National Treasure,2004,PG,347512530,Jon Turteltaub
462,Trolls,2016,PG,347337803,"Mike Mitchell, Walt Dohrn"
463,Rush Hour 2,2001,PG-13,347325802,Brett Ratner
464,How the Grinch Stole Christmas,2000,PG,346654179,Ron Howard
465,xXx: Return of Xander Cage,2017,PG-13,346118277,D.J. Caruso
466,Pocahontas,1995,G,346079773,"Mike Gabriel, Eric Goldberg"
467,It Ends with Us,2024,PG-13,344698224,Justin Baldoni
468,Star Trek Beyond,2016,PG-13,343471816,Justin Lin
469,Alvin and the Chipmunks: Chipwrecked,2011,G,342695435,Mike Mitchell
470,Wanted,2008,R,342463063,Timur Bekmambetov
471,The Flintstones,1994,PG,341631208,Brian Levant
472,A Quiet Place,2018,PG-13,340955294,John Krasinski
473,Enchanted,2007,PG,340487869,Kevin Lima
474,Over the Hedge,2006,PG,339795890,"Tim Johnson, Karey Kirkpatrick"
475,300: Rise of an Empire,2014,R,337580051,Noam Murro
476,Batman Forever,1995,PG-13,336567158,Joel Schumacher
477,Prince of Persia: The Sands of Time,2010,PG-13,336365676,Mike Newell
478,The Curious Case of Benjamin Button,2008,PG-13,335802786,David Fincher
479,Journey 2: The Mysterious Island,2012,PG,335288576,Brad Peyton
480,The Rock,1996,R,335062621,Michael Bay
481,The Great Wall,2016,PG-13,334933831,Yimou Zhang
482,Now You See Me 2,2016,PG-13,334897606,Jon M. Chu
483,Never Say Die,2017,Not Rated,334530869,"Yang Song, Chiyu Zhang"
484,Bridget Jones's Diary,2001,R,334273059,Sharon Maguire
485,Fantastic Four,2005,PG-13,333535934,Tim Story
486,Indiana Jones and the Temple of Doom,1984,PG,333107271,Steven Spielberg
487,Tomorrow Never Dies,1997,PG-13,333011068,Roger Spottiswoode
488,Back to the Future Part II,1989,PG,332500002,Robert Zemeckis
489,The Good Dinosaur,2015,PG,332207671,Peter Sohn
490,Free Guy,2021,PG-13,331526598,Shawn Levy
491,22 Jump Street,2014,R,331333876,"Phil Lord, Christopher Miller"
492,Meet the Parents,2000,PG-13,330444045,Jay Roach
493,Who Framed Roger Rabbit,1988,PG,329803958,Robert Zemeckis
494,Black Swan,2010,R,329398046,Darren Aronofsky
495,The Perfect Storm,2000,PG-13,328718434,Wolfgang Petersen
496,John Wick: Chapter 3 - Parabellum,2019,R,328349908,Chad Stahelski
497,Crocodile Dundee,1986,PG-13,328203506,Peter Faiman
498,Crazy Alien,2019,Not Rated,327598891,Hao Ning
499,Se7en,1995,R,327333559,David Fincher
500,The Devil Wears Prada,2006,PG-13,326715791,David Frankel
501,Taken 3,2014,PG-13,326479141,Olivier Megaton
502,The Hunchback of Notre Dame,1996,G,325338851,"Gary Trousdale, Kirk Wise"
503,A Christmas Carol,2009,PG,325286646,Robert Zemeckis
504,The SpongeBob Movie: Sponge Out of Water,2015,PG,325186032,"Paul Tibbitt, Mike Mitchell"
505,Bridesmaids,2011,R,324840797,Paul Feig
506,The Conjuring 2,2016,R,322811702,James Wan
507,Schindler's List,1993,R,322161245,Steven Spielberg
508,Megamind,2010,PG,321885765,Tom McGrath
509,Green Book,2018,PG-13,321752656,Peter Farrelly
510,Lethal Weapon 3,1992,R,321731527,Richard Donner
511,Robin Hood,2010,PG-13,321669741,Ridley Scott
512,Inglourious Basterds,2009,R,321460456,Quentin Tarantino
513,101 Dalmatians,1996,G,320689294,Stephen Herek
514,The Conjuring,2013,R,320415166,James Wan
515,Fatal Attraction,1987,R,320145693,Adrian Lyne
516,Sonic the Hedgehog,2020,PG,319715683,Jeff Fowler
517,The Last Airbender,2010,PG,319713881,M. Night Shyamalan
518,The Polar Express,2004,G,318321815,Robert Zemeckis
519,The Proposal,2009,PG-13,317375435,Anne Fletcher
520,A Beautiful Mind,2001,PG-13,316791257,Ron Howard
521,Beverly Hills Cop,1984,R,316360478,Martin Brest
522,Air Force One,1997,R,315156409,Wolfgang Petersen
523,Wonder,2017,PG,315025930,Stephen Chbosky
524,The Expendables 2,2012,R,314975955,Simon West
525,Chicken Little,2005,G,314432837,Mark Dindal
526,As Good as It Gets,1997,PG-13,314178011,James L. Brooks
527,Austin Powers: The Spy Who Shagged Me,1999,PG-13,313701294,Jay Roach
528,Knives Out,2019,PG-13,312897920,Rian Johnson
529,The Lego Batman Movie,2017,PG,312336671,Chris McKay
530,Maze Runner: The Scorch Trials,2015,PG-13,312296056,Wes Ball
531,Resident Evil: The Final Chapter,2016,R,312242626,Paul W.S. Anderson
532,Ocean's Thirteen,2007,PG-13,311312624,Steven Soderbergh
533,Little Fockers,2010,PG-13,310650585,Paul Weitz
534,Bolt,2008,PG,309979994,"Byron Howard, Chris Williams"
535,Ransom,1996,R,309492681,Ron Howard
536,Runaway Bride,1999,PG,309460292,Garry Marshall
537,The Blind Side,2009,PG-13,309231694,John Lee Hancock
538,The Ex-File 3: Return of the Exes,2017,PG-13,307592427,Yusheng Tian
539,The Fault in Our Stars,2014,PG-13,307168169,Josh Boone
540,The Pursuit of Happyness,2006,PG-13,307127625,Gabriele Muccino
541,Rise of the Guardians,2012,PG,306941670,Peter Ramsey
542,Close Encounters of the Third Kind,1977,PG,306889114,Steven Spielberg
543,Chicago,2002,PG-13,306777366,Rob Marshall
544,Annabelle: Creation,2017,R,306592201,David F. Sandberg
545,Skyscraper,2018,PG-13,304870828,Rawson Marshall Thurber
546,A Good Day to Die Hard,2013,R,304654182,John Moore
547,Mulan,1998,G,304320254,"Tony Bancroft, Barry Cook"
548,Dangal,2016,Not Rated,303723636,Nitesh Tiwari
549,Passengers,2016,PG-13,303144152,Morten Tyldum
550,Battleship,2012,PG-13,303025485,Peter Berg
551,Liar Liar,1997,PG-13,302710615,Tom Shadyac
552,G.I. Joe: The Rise of Cobra,2009,PG-13,302469017,Stephen Sommers
553,Wrath of the Titans,2012,PG-13,301970083,Jonathan Liebesman
554,Fantastic Four: Rise of the Silver Surfer,2007,PG,301913131,Tim Story
555,Hook,1991,PG,300854823,Steven Spielberg
556,Superman,1978,PG,300478449,Richard Donner
557,Rocky IV,1985,PG,300473716,Sylvester Stallone
558,Rambo: First Blood Part II,1985,R,300400432,George P. Cosmatos
559,Resident Evil: Afterlife,2010,R,300228084,Paul W.S. Anderson
560,Van Helsing,2004,PG-13,300157638,Stephen Sommers
561,Stuart Little,1999,PG,300135367,Rob Minkoff
562,Beverly Hills Cop II,1987,R,299965036,Tony Scott
563,Migration,2023,PG,299855347,"Benjamin Renner, Guylo Homsy"
564,Alice Through the Looking Glass,2016,PG,299820798,James Bobin
565,My Best Friend's Wedding,1997,PG-13,299288605,P.J. Hogan
566,Real Steel,2011,PG-13,299268508,Shawn Levy
567,Horton Hears a Who!,2008,G,298572799,"Jimmy Hayward, Steve Martino"
568,Ocean's Eight,2018,PG-13,297795726,Gary Ross
569,A Quiet Place Part II,2020,PG-13,297372261,John Krasinski
570,The Divergent Series: Insurgent,2015,PG-13,297002527,Robert Schwentke
571,Look Who's Talking,1989,PG-13,296999813,Amy Heckerling
572,Austin Powers in Goldmember,2002,PG-13,296938801,Jay Roach
573,Ghostbusters,1984,PG,296578797,Ivan Reitman
574,Miss Peregrine's Home for Peculiar Children,2016,PG-13,296482446,Tim Burton
575,X-Men,2000,PG-13,296339528,Bryan Singer
576,Ferdinand,2017,PG,296069199,Carlos Saldanha
577,Shutter Island,2010,R,294942469,Martin Scorsese
578,Doctor Dolittle,1998,PG-13,294456605,Betty Thomas
579,Bee Movie,2007,PG,293514336,"Simon J. Smith, Steve Hickner"
580,Salt,2010,PG-13,293503354,Phillip Noyce
581,G-Force,2009,PG,292817898,Hoyt Yeatman
582,Five Nights at Freddy's,2023,PG-13,291493620,Emma Tammi
583,The Departed,2006,R,291481358,Martin Scorsese
584,What Lies Beneath,2000,PG-13,291420351,Robert Zemeckis
585,Pacific Rim: Uprising,2018,PG-13,290930148,Steven S. DeKnight
586,The Bourne Supremacy,2004,PG-13,290835269,Paul Greengrass
587,Sex and the City 2,2010,R,290745055,Michael Patrick King
588,Shakespeare in Love,1998,R,289317794,John Madden
589,Divergent,2014,PG-13,288885818,Neil Burger
590,Coming to America,1988,R,288752301,John Landis
591,Elvis,2022,PG-13,288670284,Baz Luhrmann
592,Wedding Crashers,2005,R,288485135,David Dobkin
593,Maze Runner: The Death Cure,2018,PG-13,288175335,Wes Ball
594,Casper,1995,PG,288039549,Brad Silberling
595,American Pie 2,2001,R,287553595,J.B. Rogers
596,Pitch Perfect 2,2015,PG-13,287144079,Elizabeth Banks
597,The Green Mile,1999,R,286801374,Frank Darabont
598,Oblivion,2013,PG-13,286168572,Joseph Kosinski
599,Elysium,2013,R,286140700,Neill Blomkamp
600,Lethal Weapon 4,1998,R,285444603,Richard Donner
601,John Carter,2012,PG-13,284139100,Andrew Stanton
602,Turbo,2013,PG,282570682,David Soren
603,Paddington,2014,PG,282463312,Paul King
604,The Tourist,2010,PG-13,278780441,Florian Henckel von Donnersmarck
605,Split,2016,PG-13,278454417,M. Night Shyamalan
606,Scary Movie,2000,R,278019771,Keenen Ivory Wayans
607,xXx,2002,PG-13,277448382,Rob Cohen
608,Blade Runner 2049,2017,R,276605984,Denis Villeneuve
609,Creed III,2023,PG-13,276148615,Michael B. Jordan
610,The Bourne Legacy,2012,PG-13,276144750,Tony Gilroy
611,Mr. Peabody & Sherman,2014,PG,275698039,Rob Minkoff
612,Scooby-Doo,2002,PG,275679958,Raja Gosnell
613,Lincoln,2012,PG-13,275293450,Steven Spielberg
614,Tomb Raider,2018,PG-13,274950803,Roar Uthaug
615,Lara Croft: Tomb Raider,2001,PG-13,274703340,Simon West
616,The Expendables,2010,R,274470394,Sylvester Stallone
617,Cloudy with a Chance of Meatballs 2,2013,PG,274325949,"Cody Cameron, Kris Pearn"
618,The Nutty Professor,1996,PG-13,273961019,Tom Shadyac
619,Jerry Maguire,1996,R,273552592,Cameron Crowe
620,Bad Boys II,2003,R,273340010,Michael Bay
621,Lilo & Stitch,2002,PG,273147061,"Dean DeBlois, Chris Sanders"
622,The Silence of the Lambs,1991,R,272742922,Jonathan Demme
623,Grown Ups,2010,PG-13,271457606,Dennis Dugan
624,The Flash,2023,PG-13,271433313,Andy Muschietti
625,Neighbors,2014,R,270665134,Nicholas Stoller
626,The Firm,1993,R,270248367,Sydney Pollack
627,We're the Millers,2013,R,269994119,Rawson Marshall Thurber
628,Gran Torino,2008,R,269958228,Clint Eastwood
629,"10,000 BC",2008,PG-13,269784201,Roland Emmerich
630,American Gangster,2007,R,269755430,Ridley Scott
631,The Nun II,2023,R,269667073,Michael Chaves
632,Epic,2013,PG,268426634,Chris Wedge
633,Exodus: Gods and Kings,2014,PG-13,268175631,Ridley Scott
634,This Is It,2009,PG,267983588,Kenny Ortega
635,Bambi,1942,Approved,267447150,"James Algar, Samuel Armstrong, David Hand"
636,The Princess and the Frog,2009,G,267056816,"Ron Clements, John Musker"
637,Batman Returns,1992,PG-13,266940655,Tim Burton
638,Indecent Proposal,1993,R,266614059,Adrian Lyne
639,Something's Gotta Give,2003,PG-13,265328738,Nancy Meyers
640,Bridget Jones: The Edge of Reason,2004,R,265126918,Beeban Kidron
641,The Incredible Hulk,2008,PG-13,264770996,Louis Leterrier
642,Waterworld,1995,PG-13,264218220,Kevin Reynolds
643,The Truman Show,1998,PG,264118712,Peter Weir
644,Charlie's Angels,2000,PG-13,264105545,McG
645,The Fifth Element,1997,PG-13,263920180,Luc Besson
646,Jumanji,1995,PG,262821940,Joe Johnston
647,Borat,2006,R,262552893,Larry Charles
648,Robots,2005,PG,262511490,"Chris Wedge, Carlos Saldanha"
649,Parasite,2019,R,262129969,Bong Joon Ho
650,Knight and Day,2010,PG-13,261989769,James Mangold
